cid,zcmb,MU_SH0ES,u_mean,g_mean,r_mean,i_mean,z_mean,u_median,g_median,r_median,i_median,z_median,z_diff_mean,z_diff_median
6,0.23044,40.3062,20.33311153846154,19.793402769230767,19.069435846153848,18.576839538461538,18.38765523076923,19.80961,19.14328,18.56751,18.15103,18.04272,-1.8118461538466687e-05,-5.41000000000013e-05
10,0.24594,40.4318,20.23201204819277,19.540090240963853,18.923177228915662,18.586983855421686,18.38288903614458,19.72925,19.34027,18.76809,18.36351,18.17032,-7.360240963847333e-06,1.07000000000023e-05
11,0.3816,41.6775,20.818851066666667,20.153298000000003,19.6845356,19.380118,18.936705066666665,20.59842,20.03513,19.49165,19.12985,18.6865,-2.493066666665965e-05,-2.26999999999866e-05
14,0.13599,38.9771,-144.69525049180328,-145.44611049180327,18.067929836065574,17.539563934426226,17.35964950819672,18.99916,18.21405,17.56025,17.06525,16.81652,1.9937704918032785e-05,3.58000000000024e-05
34,0.25319,40.3688,20.34169567164179,19.724405671641794,19.09467895522388,18.75365268656716,18.48946432835821,19.77459,19.50371,18.75245,18.4147,18.11913,-2.520895522411707e-06,1.53999999999987e-05
38,0.15036,39.1058,20.060761111111113,19.121067777777778,18.441273492063495,17.988373174603172,17.80127523809524,19.57865,18.65264,17.97168,17.61027,17.415,-2.5969841269833742e-05,-8.90000000000612e-06
137,0.11878,38.5629,20.200402380952383,19.285297142857143,18.665905000000002,18.194614761904763,17.930294285714286,19.382045,18.355355,17.49586,16.92672,16.80163,-3.9969047619044636e-05,-4.56999999999957e-05
142,0.43673,42.0051,21.089961,20.3833675,19.826806899999998,19.381545000000003,19.080944300000002,21.02526,20.357605,19.821615,19.244,18.88408,-0.00010176100000000781,-0.00011930000000001599
174,0.24497,40.3336,20.284999710144927,19.727350869565218,19.006536811594202,18.583293188405797,18.339882173913043,20.06869,19.43369,18.79721,18.38122,18.14659,1.605652173913718e-05,2.65000000000126e-05
190,0.10237,38.4085,19.56580166666667,18.426584444444444,17.600058611111113,17.083715555555557,16.824330833333335,19.138475,17.962785,17.12087,16.62628,16.39694,-3.2080555555558186e-05,-2.7350000000002298e-05
196,0.35066,41.2342,20.475194307692306,19.961690153846156,19.393654923076923,19.164358615384614,18.697754,20.07063,19.735,19.15825,18.98568,18.4187,-2.8410769230796188e-05,-1.87000000000381e-05
